artist,song,spotify_song_name,spotify_id,preview,songs,set_title_split,dj_id,song_id,size
11:11,West Side,West Side,15Hy4NsbvkcSygqXC2vZdL,,West Side,Omulu,0,17,2
" Cedric 'Im' Brooks, The Light Of Saba",Africa,Africa,62LRbIbMCeXelKVuL8IlNa,https://p.scdn.co/mp3-preview/73e87ecebc1a56f54f65cffcc90b2bf6b8e246fa?cid=461b02dc885841c0a798981c336f46f0,Africa,Floating Points,0,1,2
" Helmut Ebritsch, Paul Loraine",Lifted,Lifted,5vXlU52ohBRZb1uUw4GPqA,https://p.scdn.co/mp3-preview/be0320d4b2432e1fb8aba02f6b1722edcd71eed3?cid=461b02dc885841c0a798981c336f46f0,Lifted,Franksen,0,2,3
" RTKal, Fox, Shanique Marie, Equiknoxx, Swing Ting",Jump To The Bar,Jump to the Bar,3vFQTQaM1gNiQ47Ok0onjk,https://p.scdn.co/mp3-preview/eea2dd504075a5f438d6c4c0c9378981ebaccce2?cid=461b02dc885841c0a798981c336f46f0,Jump To The Bar,Floyd Lavine,0,3,2
&ME,Cape Coast,Cape Coast,6JuCp2v9s7EKrR2UMOJJWh,https://p.scdn.co/mp3-preview/05c0363185dee5a39405274c1de901c2527a2119?cid=461b02dc885841c0a798981c336f46f0,Cape Coast,Fish Go Deep,0,4,3
2 Sides Of Soul,Say Mama [Lapsus],Say Mama - Original Mix,6aYP1tSk7xBppdAuEjC4tC,https://p.scdn.co/mp3-preview/1d9338fb24db6dddf20ffc71498a9687d1863180?cid=461b02dc885841c0a798981c336f46f0,Say Mama [Lapsus],Supernova,0,5,2
21 Savage,Bank Account,Bank Account,2fQrGHiQOvpL9UgPvtYy6G,https://p.scdn.co/mp3-preview/249295a31e99403d93c629504ba96e2f636cca20?cid=461b02dc885841c0a798981c336f46f0,Bank Account,DJ Mugzee,0,6,2
11:11,West Side,West Side,15Hy4NsbvkcSygqXC2vZdL,,West Side,Omulu,1,17,2
" Cedric 'Im' Brooks, The Light Of Saba",Africa,Africa,62LRbIbMCeXelKVuL8IlNa,https://p.scdn.co/mp3-preview/73e87ecebc1a56f54f65cffcc90b2bf6b8e246fa?cid=461b02dc885841c0a798981c336f46f0,Africa,Floating Points,1,1,2
" Helmut Ebritsch, Paul Loraine",Lifted,Lifted,5vXlU52ohBRZb1uUw4GPqA,https://p.scdn.co/mp3-preview/be0320d4b2432e1fb8aba02f6b1722edcd71eed3?cid=461b02dc885841c0a798981c336f46f0,Lifted,Franksen,1,2,3
" RTKal, Fox, Shanique Marie, Equiknoxx, Swing Ting",Jump To The Bar,Jump to the Bar,3vFQTQaM1gNiQ47Ok0onjk,https://p.scdn.co/mp3-preview/eea2dd504075a5f438d6c4c0c9378981ebaccce2?cid=461b02dc885841c0a798981c336f46f0,Jump To The Bar,Floyd Lavine,1,3,2
&ME,Cape Coast,Cape Coast,6JuCp2v9s7EKrR2UMOJJWh,https://p.scdn.co/mp3-preview/05c0363185dee5a39405274c1de901c2527a2119?cid=461b02dc885841c0a798981c336f46f0,Cape Coast,Fish Go Deep,1,4,3
