,title + dj,set_title,set_list,artist,song,spotify_song_name,spotify_id,preview,songs,set_title_split,dj_id,song_id,size,total plays,,In input,in og set
84644," - Annie Nightingale, 1991, Mumbai Science - Annie On One 2"," - Annie Nightingale, 1991, Mumbai Science - Annie On One",Thai Mason - Burning Out My Stars,Thai Mason,Burning Out My Stars,Burning Out My Stars,6ZgSvxKmagJEzwxDHE6W3Q,https://p.scdn.co/mp3-preview/550662d21f322929432791fa4b062af9ed9b7192?cid=461b02dc885841c0a798981c336f46f0,Burning Out My Stars,1991,2,88883,1,3,2 88883,No,Yes
84601," - Annie Nightingale, 1991, Mumbai Science - Annie On One 2"," - Annie Nightingale, 1991, Mumbai Science - Annie On One",Digital Farm Animals Feat. Hailee Steinfeld - Digital Love,Digital Farm Animals Feat. Hailee Steinfeld,Digital Love,Digital Love (feat. Hailee Steinfeld),0qwa6Mm9oZWLhGitD2Jfnq,https://p.scdn.co/mp3-preview/4c4cb73c236f17b7cc4efcc822bddeb552094139?cid=461b02dc885841c0a798981c336f46f0,Digital Love,1991,2,9105,1,3,2 9105,No,Yes
84647," - Annie Nightingale, 1991, Mumbai Science - Annie On One 2"," - Annie Nightingale, 1991, Mumbai Science - Annie On One",Moonflowers - Get Higher,Moonflowers,Get Higher,Get Higher,0OdFaWe1Tk0ndzR6MUC8E9,https://p.scdn.co/mp3-preview/dc528c03fe532f859e225a42476a8d7b45ac7020?cid=461b02dc885841c0a798981c336f46f0,Get Higher,1991,2,7968,1,3,2 7968,No,Yes
84618," - Annie Nightingale, 1991, Mumbai Science - Annie On One 2"," - Annie Nightingale, 1991, Mumbai Science - Annie On One",Dub Elements - Heartbeat [Viper VIP],Dub Elements,Heartbeat [Viper VIP],Heartbeat,30mb9HAT2AWkeAUDwyqizU,https://p.scdn.co/mp3-preview/741d4e38cc908ba6a34148b1339ab53b4393bb29?cid=461b02dc885841c0a798981c336f46f0,Heartbeat [Viper VIP],1991,2,38668,1,3,2 38668,No,Yes
84641," - Annie Nightingale, 1991, Mumbai Science - Annie On One 2"," - Annie Nightingale, 1991, Mumbai Science - Annie On One",Will Heard - I Better Love You,Will Heard,I Better Love You,I Better Love You,2jFd3RbfyLbGAZz822QcKN,https://p.scdn.co/mp3-preview/9237db10145eb81d9ab0e186eedce1d3d42f5b81?cid=461b02dc885841c0a798981c336f46f0,I Better Love You,1991,2,31711,1,3,2 31711,No,Yes
84628," - Annie Nightingale, 1991, Mumbai Science - Annie On One 2"," - Annie Nightingale, 1991, Mumbai Science - Annie On One",Cyantific - Outatime [Viper],Cyantific,Outatime [Viper],"Outatime, Pt. 2",48DOaO6qII3xg7EgLdeEgG,https://p.scdn.co/mp3-preview/b7e6d6b167cc41519c273f87178d39f3499906ee?cid=461b02dc885841c0a798981c336f46f0,Outatime [Viper],1991,2,52830,1,3,2 52830,No,Yes
84607," - Annie Nightingale, 1991, Mumbai Science - Annie On One 2"," - Annie Nightingale, 1991, Mumbai Science - Annie On One",Lost Kings - Phone Down,Lost Kings,Phone Down,Phone Down,5bvNpG6wiIEf1PA13TkTu2,https://p.scdn.co/mp3-preview/fdacef56e49621822400e5084bea4ee5953207a2?cid=461b02dc885841c0a798981c336f46f0,Phone Down,1991,2,66547,1,3,2 66547,No,Yes
84635," - Annie Nightingale, 1991, Mumbai Science - Annie On One 2"," - Annie Nightingale, 1991, Mumbai Science - Annie On One",Camo & Krooked - Reality,Camo & Krooked,Reality,Reality,19Oe8EA6yWXU4iJ20gjmxy,https://p.scdn.co/mp3-preview/2c153e6542ad3ec2f7bb9f4a06131682296ff8be?cid=461b02dc885841c0a798981c336f46f0,Reality,1991,2,14878,1,3,2 14878,No,Yes
21147," - Annie Nightingale, 1991, Mumbai Science - Annie On One 2"," - Annie Nightingale, 1991, Mumbai Science - Annie On One",1991 - Sprites,1991,Sprites,Sprites,6k52BWUtebggXAoGZjzKVX,,Sprites,1991,2,82574,1,4,2 82574,No,Yes
84638," - Annie Nightingale, 1991, Mumbai Science - Annie On One 2"," - Annie Nightingale, 1991, Mumbai Science - Annie On One",Ajr - Weak,Ajr,Weak,Weak,3BuLtAmXKy5uQYl4ED1zBT,https://p.scdn.co/mp3-preview/e9123af930849a20dad875b2a42e5ca65f1944b6?cid=461b02dc885841c0a798981c336f46f0,Weak,1991,2,41346,1,3,2 41346,No,Yes
84604," - Annie Nightingale, 1991, Mumbai Science - Annie On One 2"," - Annie Nightingale, 1991, Mumbai Science - Annie On One",Deadcrow - Wings,Deadcrow,Wings,Wings,6bNwtXt4YDxH2nnPfjG6jx,https://p.scdn.co/mp3-preview/2958d01f552dfe78886b315bc27237c13a9e3f82?cid=461b02dc885841c0a798981c336f46f0,Wings,1991,2,78992,1,3,2 78992,No,Yes
84615," - Annie Nightingale, 1991, Mumbai Science - Annie On One 2"," - Annie Nightingale, 1991, Mumbai Science - Annie On One",1991 - Witchdoctor,1991,Witchdoctor,Witchdoctor,6F64iXGmLbEhJA28kslGzx,,Witchdoctor,1991,2,80451,1,3,2 80451,No,Yes
81487," - AFFKT, Alberto Sola, & Mattia Pompeo - Sincopat (Label Lovers 019) 3"," - AFFKT, Alberto Sola, & Mattia Pompeo - Sincopat (Label Lovers 019)",JOBE - Fatty Acid,JOBE,Fatty Acid,Fatty Acid - Original Mix,1EtHABq1n5UKdSZdsSKMGY,https://p.scdn.co/mp3-preview/9c2cd4d381b15ac206dde4bfc4f0b0a8d855d740?cid=461b02dc885841c0a798981c336f46f0,Fatty Acid, & Mattia Pompeo,3,16921,1,3,3 16921,No,Yes
81484," - AFFKT, Alberto Sola, & Mattia Pompeo - Sincopat (Label Lovers 019) 3"," - AFFKT, Alberto Sola, & Mattia Pompeo - Sincopat (Label Lovers 019)",Habischman - Groove Division,Habischman,Groove Division,Groove Division - Original Mix,5sGqeTsiV6sXIjEzG29mqP,https://p.scdn.co/mp3-preview/48a6e7a154cafcb6096244265ee4ba9281e189f7?cid=461b02dc885841c0a798981c336f46f0,Groove Division, & Mattia Pompeo,3,73191,1,3,3 73191,No,Yes
81478," - AFFKT, Alberto Sola, & Mattia Pompeo - Sincopat (Label Lovers 019) 3"," - AFFKT, Alberto Sola, & Mattia Pompeo - Sincopat (Label Lovers 019)",Fideles - New Moon,Fideles,New Moon,New Moon - Original Mix,1dzVQCwwndiYoH7JvCXiUr,https://p.scdn.co/mp3-preview/0294fda1a3a5a3dcd764e972f5a92ca1b642012a?cid=461b02dc885841c0a798981c336f46f0,New Moon, & Mattia Pompeo,3,16593,1,3,3 16593,No,Yes
81490," - AFFKT, Alberto Sola, & Mattia Pompeo - Sincopat (Label Lovers 019) 3"," - AFFKT, Alberto Sola, & Mattia Pompeo - Sincopat (Label Lovers 019)",Piek - Paunk,Piek,Paunk,Paunk - Original Mix,4s4BtNNd9Xjy9Zs2rUqxI4,https://p.scdn.co/mp3-preview/4583ba321fe2d7e4f13c138ad075bee898d8695a?cid=461b02dc885841c0a798981c336f46f0,Paunk, & Mattia Pompeo,3,60591,1,3,3 60591,No,Yes
81481," - AFFKT, Alberto Sola, & Mattia Pompeo - Sincopat (Label Lovers 019) 3"," - AFFKT, Alberto Sola, & Mattia Pompeo - Sincopat (Label Lovers 019)",Audio Junkies - Syncopated,Audio Junkies,Syncopated,Syncopated - Original Mix,78HMMoh97Zor1gXODLwR5d,https://p.scdn.co/mp3-preview/907a73a6306182e2288f825680e46ede51efb0e6?cid=461b02dc885841c0a798981c336f46f0,Syncopated, & Mattia Pompeo,3,90908,1,3,3 90908,No,Yes
118812," - Pete Tong, &ME - Essential Selection 4"," - Pete Tong, &ME - Essential Selection",Gorillaz - Busted And Blue (Yotto Remix),Gorillaz,Busted And Blue (Yotto Remix),Busted and Blue - Yotto Remix,3PgIZG6N4bNzmBoqETxwPj,https://p.scdn.co/mp3-preview/5732f6f19febe25635f414c7a06f72dd34637012?cid=461b02dc885841c0a798981c336f46f0,Busted And Blue (Yotto Remix), &ME,4,46842,1,2,4 46842,No,Yes
116200," - Pete Tong, &ME - Essential Selection 4"," - Pete Tong, &ME - Essential Selection",Habischman - Closure,Habischman,Closure,Closure - Edit,0iRcGmF580GQs5gwIkEASX,https://p.scdn.co/mp3-preview/4cce12b677ffaea5693e9fabfb8ace62897494a1?cid=461b02dc885841c0a798981c336f46f0,Closure, &ME,4,5625,1,3,4 5625,No,Yes
