set_name_plus_dj_id,set_title,set_list,artist,song,spotify_song_name,spotify_id,preview,songs,dj_name,dj_id,song_id,dj_play_count,total_play_count
" - Annie Nightingale, Zonderling, Mija, Dirtyphonics - Annie On One - 3410"," - Annie Nightingale, Zonderling, Mija, Dirtyphonics - Annie On One",Stanton Warriors - Hoping (Left Right Remix),Stanton Warriors,Hoping (Left Right Remix),Hoping - Left/Right Remix,0XYtCtrygQHdHSgsI8kEw7,https://p.scdn.co/mp3-preview/0a5ee620dc8d63184877e0ec7560055ce2374a7e?cid=461b02dc885841c0a798981c336f46f0,Hoping (Left Right Remix),Annie Nightingale,3410,11989,2,8
" - Annie Nightingale, Zonderling, Mija, Dirtyphonics - Annie On One - 3410"," - Annie Nightingale, Zonderling, Mija, Dirtyphonics - Annie On One",San Holo - Light,San Holo,Light,Light,6jq6rcOikCZAmjliAgAmfT,https://p.scdn.co/mp3-preview/5f7ee64a3b07b9523505439dcb3c588381ab1224?cid=461b02dc885841c0a798981c336f46f0,Light,Annie Nightingale,3410,82400,2,14
" - Max Lean, David Guetta, Laidback Luke, Steve Norton - Big City Beats, KroneHit - 683"," - Max Lean, David Guetta, Laidback Luke, Steve Norton - Big City Beats, KroneHit",PAX - Voodoo Girl [Solä - SOLA075],PAX,Voodoo Girl [Solä,Voodoo Girl (SPOT042019),3rxSoxbX5z941L7BvEpVor,https://p.scdn.co/mp3-preview/233259f88c1a8ec9001afacf631d0c01b482b850?cid=461b02dc885841c0a798981c336f46f0,Voodoo Girl [Solä, David Guetta,683,47927,2,23
" - Max Lean, David Guetta, Laidback Luke, Steve Norton - Big City Beats, KroneHit - 683"," - Max Lean, David Guetta, Laidback Luke, Steve Norton - Big City Beats, KroneHit",Roger Horton - Blowin Up [Tiger - TIGREC081],Roger Horton,Blowin Up [Tiger,Blowin Up - Original Mix,6DpRGykLe8caBe8nHoqq4Q,https://p.scdn.co/mp3-preview/e4269b834da6d8f062b31c5c40269a2aeed36a54?cid=461b02dc885841c0a798981c336f46f0,Blowin Up [Tiger, David Guetta,683,79839,2,11
" - Max Lean, David Guetta, Laidback Luke, Steve Norton - Big City Beats, KroneHit - 683"," - Max Lean, David Guetta, Laidback Luke, Steve Norton - Big City Beats, KroneHit",Avicii - Ryu [Mixmash - MIXMA012],Avicii,Ryu [Mixmash,Ryu - Mix Cut,7fHjvurn86kYM3kmPISKe5,https://p.scdn.co/mp3-preview/fa9e6eb1c38f613efaeae2a4217d9cc91ae980eb?cid=461b02dc885841c0a798981c336f46f0,Ryu [Mixmash, David Guetta,683,93438,2,11
" - Charlie Tee, Pipes, Andi Durrant, James Hype, Sister Bliss - Friday Night Kiss Fresh - 4048"," - Charlie Tee, Pipes, Andi Durrant, James Hype, Sister Bliss - Friday Night Kiss Fresh",BIJOU - Memories [Insomniac - IR066],BIJOU,Memories [Insomniac,Memories,7wjPWHxY9BrpJlf42duIrN,https://p.scdn.co/mp3-preview/2e86abac2b81c34ead9f8149eb1c55c336659a62?cid=461b02dc885841c0a798981c336f46f0,Memories [Insomniac,Charlie Tee,4048,98423,1,14
" - Charlie Tee, Pipes, Andi Durrant, James Hype, Sister Bliss - Friday Night Kiss Fresh - 4048"," - Charlie Tee, Pipes, Andi Durrant, James Hype, Sister Bliss - Friday Night Kiss Fresh",Illyus & Barrientos - Shout [Toolroom - TOOL748],Illyus & Barrientos,Shout [Toolroom,Shout,3dF8rr9xQhBlhqHlO5KsVx,https://p.scdn.co/mp3-preview/fb2ca0a52116d32fb8373fade708eea0672d3042?cid=461b02dc885841c0a798981c336f46f0,Shout [Toolroom,Charlie Tee,4048,41948,6,36
" - Charlie Tee, Pipes, Andi Durrant, James Hype, Sister Bliss - Friday Night Kiss Fresh - 4048"," - Charlie Tee, Pipes, Andi Durrant, James Hype, Sister Bliss - Friday Night Kiss Fresh",Ben Delay - All I Need Is You [Nervous - NER24566],Ben Delay,All I Need Is You [Nervous,All I Need Is You (Mixed),6bN5ohNFUA63BFoRiwI0nN,https://p.scdn.co/mp3-preview/7f46d9cdc8a0ee4d3933a43103e4b80fef9ac6a3?cid=461b02dc885841c0a798981c336f46f0,All I Need Is You [Nervous,Charlie Tee,4048,78982,6,27
" - Moguai, Showtek, Wankelmut - 1LIVE DJ Session - 2934"," - Moguai, Showtek, Wankelmut - 1LIVE DJ Session", Ravenous - Like To Know Ya, Ravenous,Like To Know Ya,Like to Know Ya,6woSDuzCnAPkFH38hbP2CN,https://p.scdn.co/mp3-preview/b684165d7cb01c9d52f7dba2b05077aa2df4a7b2?cid=461b02dc885841c0a798981c336f46f0,Like To Know Ya, Wankelmut,2934,87764,1,6
" - Moguai, Showtek, Wankelmut - 1LIVE DJ Session - 2934"," - Moguai, Showtek, Wankelmut - 1LIVE DJ Session", NiCe7 - Running Man (Latmun Remix) [Snatch! - 101], NiCe7,Running Man (Latmun Remix) [Snatch!,Running Man - Latmun Remix,7J4oKdV5vaztkAs2h7FOOu,https://p.scdn.co/mp3-preview/524de32550da53c297e7caee83dbc0b714de41f9?cid=461b02dc885841c0a798981c336f46f0,Running Man (Latmun Remix) [Snatch!, Wankelmut,2934,94919,3,22
